"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Pitt R.N.; Satcher L.A.; Drew A.M.","Pitt, Richard N. (25958288300); Satcher, Lacee A. (57203162700); Drew, Amber Musette (57212762187)","25958288300; 57203162700; 57212762187","Optimism, Innovativeness, and Competitiveness: The Relationship between Entrepreneurial Orientations and the Development of Science Identity in Scientists","2020","Social Currents","7","2","","155","172","17","7","10.1177/2329496519895297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077372972&doi=10.1177%2f2329496519895297&partnerID=40&md5=5793d2cee4cceeeb60ed0e1d6fb23366","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85077372972"
"Zoogah D.B.","Zoogah, David B. (26655123400)","26655123400","A circumstantiated model of change in Africa","2018","Routledge Handbook of Organizational Change in Africa","","","","102","121","19","0","10.4324/9781315630113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059202126&doi=10.4324%2f9781315630113&partnerID=40&md5=aa4ff6a14bc5d119822f4241eb7a9103","Book chapter","Final","","Scopus","2-s2.0-85059202126"
"Schneider N.; Blaese R.; Liebig B.","Schneider, Noemi (57224976134); Blaese, Richard (57224323176); Liebig, Brigitte (57207684042)","57224976134; 57224323176; 57207684042","Conditions for spin-off creation at Swiss universities of applied sciences – a gender sensitive approach","2021","International Journal of Gender and Entrepreneurship","13","4","","373","393","20","1","10.1108/IJGE-07-2020-0099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108784914&doi=10.1108%2fIJGE-07-2020-0099&partnerID=40&md5=731c6054426f014d0485b2c766206300","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85108784914"
"Vega-Gomez F.-I.; Miranda F.J.; Mera A.C.; Mayo J.P.","Vega-Gomez, Francisco-Isidoro (57204686902); Miranda, F. Javier (23005414300); Mera, Antonio Chamorro (23003342500); Mayo, Jesús Pérez (8501764900)","57204686902; 23005414300; 23003342500; 8501764900","The spin-off as an instrument of sustainable development: Incentives for creating an academic USO","2018","Sustainability (Switzerland)","10","11","4266","","","","10","10.3390/su10114266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056694834&doi=10.3390%2fsu10114266&partnerID=40&md5=89d3ae1da5215ccbe8dc7bc7294b0bf3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85056694834"
"Bohn H.J., Jr.; Roelfs D.J.","Bohn, H. Joseph (57218698725); Roelfs, David J. (8709117600)","57218698725; 8709117600","How Hybrid Institutional Logics Matter: The Importance of Trust and Embeddedness in Neighborhood Revitalization Collaborations","2020","Journal of Applied Social Science","14","2","","145","161","16","3","10.1177/1936724420947012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090085204&doi=10.1177%2f1936724420947012&partnerID=40&md5=4730a25c89981593c51859a8e4746998","Article","Final","","Scopus","2-s2.0-85090085204"
"AguIgwe P.; Ochinanwata C.","AguIgwe, Paul (57230368500); Ochinanwata, Chinedu (57216937016)","57230368500; 57216937016","How to start African Informal entrepreneurial revolution?","2021","Journal of African Business","22","4","","514","531","17","5","10.1080/15228916.2021.1954447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113377573&doi=10.1080%2f15228916.2021.1954447&partnerID=40&md5=262c473444231a3bf5861fd722f29b2f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85113377573"
"Liu H.; Kulturel-Konak S.; Konak A.","Liu, Haibin (57222099713); Kulturel-Konak, Sadan (6506835561); Konak, Abdullah (6601933729)","57222099713; 6506835561; 6601933729","Key elements and their roles in entrepreneurship education ecosystem: Comparative review and suggestions for sustainability","2021","Sustainability (Switzerland)","13","19","10648","","","","5","10.3390/su131910648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115801713&doi=10.3390%2fsu131910648&partnerID=40&md5=45b9e7444870ae355981f7a4f3aaed46","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85115801713"
"Singh K.; Misra M.","Singh, Kuldeep (57688287300); Misra, Madhvendra (55175088700)","57688287300; 55175088700","Developing an agricultural entrepreneur inclination model for sustainable agriculture by integrating expert mining and ISM–MICMAC","2021","Environment, Development and Sustainability","23","4","","5122","5150","28","11","10.1007/s10668-020-00806-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086666410&doi=10.1007%2fs10668-020-00806-x&partnerID=40&md5=a3c9d6bb1d32163fa36a0d76562ae9fa","Article","Final","","Scopus","2-s2.0-85086666410"
"Abebe G.K.; Gebremariam T.A.","Abebe, Gumataw Kifle (55613336600); Gebremariam, Teferra Amare (57449238500)","55613336600; 57449238500","Challenges for entrepreneurship development in rural economies: the case of micro and small-scale enterprises in Ethiopia","2021","Small Enterprise Research","28","1","","36","56","20","5","10.1080/13215906.2021.1878385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113264183&doi=10.1080%2f13215906.2021.1878385&partnerID=40&md5=f2f8e295301ebeffd66c744f40148f79","Article","Final","","Scopus","2-s2.0-85113264183"
"M. Mars M.; Hart J.","M. Mars, Matthew (16245492800); Hart, Jeni (12752964700)","16245492800; 12752964700","Entrepreneurial sensemaking and transdisciplinary graduate entrepreneurship education","2022","Studies in Graduate and Postdoctoral Education","13","3","","297","314","17","1","10.1108/SGPE-09-2021-0068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133924144&doi=10.1108%2fSGPE-09-2021-0068&partnerID=40&md5=5080e47a4e5321a3cef4f7b605bf606c","Article","Final","","Scopus","2-s2.0-85133924144"
"Chavali K.; Mavuri S.; Durrah O.","Chavali, Kavita (45160965000); Mavuri, Sudha (57216393992); Durrah, Omar (57188805511)","45160965000; 57216393992; 57188805511","Factors Affecting Social Entrepreneurial Intent: Significance of Student Engagement Initiatives in Higher Education Institutions","2022","World Journal of Entrepreneurship, Management and Sustainable Development","18","2","","233","251","18","6","10.47556/J.WJEMSD.18.2.2022.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112490430&doi=10.47556%2fJ.WJEMSD.18.2.2022.4&partnerID=40&md5=346f80cfa1c3164d5c101bc3ceb5f9cb","Article","Final","","Scopus","2-s2.0-85112490430"
"Bandyopadhyay S.; Bhattacharyya S.; Basak J.","Bandyopadhyay, Somprakash (7402057814); Bhattacharyya, Sneha (57205638244); Basak, Jayanta (7004410778)","7402057814; 57205638244; 7004410778","Social knowledge management for rural empowerment: Bridging the knowledge divide using social technologies","2020","Social Knowledge Management for Rural Empowerment: Bridging the Knowledge Divide Using Social Technologies","","","","1","340","339","2","10.4324/9780429320170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091546464&doi=10.4324%2f9780429320170&partnerID=40&md5=0772add56955006499214a5394bd1ef1","Book","Final","","Scopus","2-s2.0-85091546464"
"Steinbach M.; Süß S.","Steinbach, Malte (57203764007); Süß, Stefan (22235264000)","57203764007; 22235264000","Administrators' identities and strategies in the e-participation innovation process: A qualitative analysis of institutional logics and institutional work in German municipalities","2018","Information Polity","23","3","","281","305","24","6","10.3233/IP-170037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052866063&doi=10.3233%2fIP-170037&partnerID=40&md5=bea6c11aa60dcdb2edbd0c7fe828599a","Article","Final","","Scopus","2-s2.0-85052866063"
"Demir F.","Demir, Fatih (57212836057)","57212836057","Public policy making in Turkey: Foundational concepts, current practice, and impact of the new presidential system","2021","Public Policy Making in Turkey: Foundational Concepts, Current Practice, and Impact of the New Presidential System","","","","1","192","191","0","10.1007/978-3-030-68715-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151105912&doi=10.1007%2f978-3-030-68715-1&partnerID=40&md5=c14bc565aee9d493b5912636be31af83","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85151105912"
"Gerdin G.; Smith W.; Philpot R.; Schenker K.; Moen K.M.; Linnér S.; Westlie K.; Larsson L.","Gerdin, Göran (56541393900); Smith, Wayne (44462065300); Philpot, Rod (56667142700); Schenker, Katarina (6603824032); Moen, Kjersti Mordal (56119624400); Linnér, Susanne (57192837768); Westlie, Knut (57202871380); Larsson, Lena (57200392771)","56541393900; 44462065300; 56667142700; 6603824032; 56119624400; 57192837768; 57202871380; 57200392771","Social justice pedagogies in health and physical education","2021","Social Justice Pedagogies in Health and Physical Education","","","","1","216","215","0","10.4324/9781003003953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117815458&doi=10.4324%2f9781003003953&partnerID=40&md5=c542c42b70a88d84ef698af1190b7180","Book","Final","","Scopus","2-s2.0-85117815458"
